title,author,length
1. The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
2. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
3. The Teacher,By: Freida McFadden,Length: 9 hrs and 35 mins
4. First Lie Wins,By: Ashley Elston,Length: 9 hrs and 16 mins
5. Fourth Wing,By: Rebecca Yarros,Length: 20 hrs and 43 mins
6. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
7. The Chaos Agent,By: Mark Greaney,Length: 17 hrs and 35 mins
8. House of Flame and Shadow,By: Sarah J. Maas,Length: 29 hrs and 42 mins
9. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
10. Worthy,By: Jamie Kern Lima,Length: 11 hrs and 26 mins
11. The Heaven & Earth Grocery Store,By: James McBride,Length: 12 hrs and 21 mins
12. Mostly What God Does,By: Savannah Guthrie,Length: 4 hrs and 52 mins
13. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
14. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
15. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
16. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
17. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
18. House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
19. Supercommunicators,By: Charles Duhigg,Length: 7 hrs and 28 mins
20. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
21. None of This Is True,By: Lisa Jewell,Length: 10 hrs and 20 mins
22. One Second After,By: William R. Forstchen,Length: 13 hrs and 17 mins
23. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
24. Tom Lake,By: Ann Patchett,Length: 11 hrs and 22 mins
25. A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
26. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
27. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
28. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
29. Butcher & Blackbird,By: Brynne Weaver,Length: 8 hrs and 43 mins
