title,author,length
The Endarkened,By: Franklin Horton,Length: 9 hrs and 42 mins
Dark Voyage Matters of the Soul,By: I. T. Lucas,Length: 8 hrs and 50 mins
Claim Me Forever,By: A.L. Jackson,Length: 13 hrs and 21 mins
Easy Does It,By: K.M. Neuhold,Length: 6 hrs and 37 mins
Defiance of the Fall 12,"By: TheFirstDefier, JF Brink",Length: 26 hrs and 24 mins
"Solar Dragons Need Love, Too! 6",By: Virgil Knightley,Length: 7 hrs and 48 mins
Mother Faker,By: Brittanee Nicole,Length: 10 hrs and 13 mins
Leopard's Hunt,By: Christine Feehan,Length: 12 hrs and 45 mins
Crown,By: Nicoli Gonnella,Length: 22 hrs and 7 mins
The Library Murders,By: Merryn Allingham,Length: 7 hrs and 20 mins
Magical Midlife Awakening,By: K.F. Breene,Length: 10 hrs and 7 mins
All the Scary Little Gods,By: Natalie Hoffman,Length: 11 hrs and 39 mins
The Shattered Path,By: Edward W. Robertson,Length: 18 hrs and 40 mins
Explicit Hot Erotic Sex Stories,By: Emily Reid,Length: 20 hrs and 19 mins
The Surrogate,By: Penelope Ward,Length: 9 hrs and 52 mins
Infernal Creatures,"By: Caroline Peckham, Susanne Valenti",Length: 14 hrs and 37 mins
Thought Access,By: Idil Ahmed,Length: 11 hrs and 57 mins
The Thief,By: Dannika Dark,Length: 10 hrs and 35 mins
Recon,By: Craig Alanson,Length: 17 hrs and 53 mins
I Married an Incubus,By: Regine Abel,Length: 9 hrs and 14 mins
