title,author,length
Swamp Spies,Jana DeLeon,Length: Not Yet Known
Murder at the Island Hotel,Helena Dixon,Length: 7 hrs and 26 mins
Passions in Death,J. D. Robb,Length: 12 hrs and 51 mins
Biohack Like a Woman,Aggie Lal,Length: 7 hrs and 48 mins
Insatiable Park Avenue Prince,"Brooke Blaine,Ella Frank",Length: 9 hrs and 16 mins
This Could Be Us,Kennedy Ryan,Length: 12 hrs and 20 mins
Wind and Truth,Brandon Sanderson,Length: 40 hrs
Something Wicked,Lily Morton,Length: 10 hrs and 23 mins
The Shattered Path,Edward W. Robertson,Length: 18 hrs and 40 mins
The Mirror,Nora Roberts,Length: 14 hrs and 24 mins
Through the Storm,"John Ringo,Lydia Sherrer",Length: 13 hrs and 13 mins
The House of Hidden Meanings,RuPaul,Length: 7 hrs and 7 mins
Rock Chick Rematch: A Rock Chick Novella,Kristen Ashley,Length: 7 hrs and 45 mins
Aubrey McFadden Is Never Getting Married,Georgia Beers,Length: 8 hrs and 57 mins
Magi Reborn,Deacon Frost,Length: 11 hrs and 2 mins
Crown,Nicoli Gonnella,Length: 22 hrs and 6 mins
Magical Midlife Awakening,K.F. Breene,Length: 10 hrs and 7 mins
The Thief,Dannika Dark,Length: 10 hrs and 35 mins
Swift and Saddled,Lyla Sage,Length: 7 hrs and 21 mins
Slow Productivity,Cal Newport,Length: 6 hrs and 17 mins
